State,programainicio,execucaoinicio,fimexecucao,fimprograma,definainstrucao,identificador,como,inicio,fim,repita,numero,vezes,fimrepita,enquanto,faca,fimpara,se,entao,fimse,senao,fimsenao,mova,passos,vire,para,esquerda,direita,pare,finalize,apague,lampada,acenda,aguarde,ate,robo,pronto,ocupado,parado,movimentando,frente,bloqueada,acesa,a,apagada,$,Programa,Declaracoes,Declaracao,Bloco,Comandos,Comando,Iteracao,Laco,Condicional,Numeros,Instrucao,Condicao
64, ,r27,r27, ,r27,r27, ,r27,r27,r27, , ,r27,r27, ,r27,r27, ,r27, ,r27,r27, ,r27, , , ,r27,r27,r27, ,r27,r27, , , , , , , , , , , , , , , , , , , , , , , , 
65, , , , , , , , , , , , ,s73, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
66, , , , , , , , , , , , , , , ,s74, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
67, ,r32,r32, ,r32,r32, ,r32,r32,r32, , ,r32,r32,r32,r32,r32,r32,r32, ,r32,r32, ,r32, , , ,r32,r32,r32, ,r32,r32, , , , , , , , , , , , , , , , , , , , , , , , 
68, ,r33,r33, ,r33,r33, ,r33,r33,r33, , ,r33,r33,r33,r33,r33,r33,r33, ,r33,r33, ,r33, , , ,r33,r33,r33, ,r33,r33, , , , , , , , , , , , , , , , , , , , , , , , 
69, ,r34,r34, ,r34,r34, ,r34,r34,r34, , ,r34,r34,r34,r34,r34,r34,r34, ,r34,r34, ,r34, , , ,r34,r34,r34, ,r34,r34, , , , , , , , , , , , , , , , , , , , , , , , 
70, , , , , , , , , , , , , , , , , , , , , , , , , ,s76,s77, , , , , , , , , , , , ,s75, , , , , , , , , , , , , , , , , 
71, , , , , , , , , , , , , , , , , , , , , , , , , ,s79,s80, , , , , , , , , , , , ,s78, , , , , , , , , , , , , , , , , 
72, , , , , , , , , , , , , , , , , , ,s81, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73, ,r12,r12, ,r12,r12, ,r12,r12,r12, , ,r12,r12, ,r12,r12, ,r12, ,r12,r12, ,r12, , , ,r12,r12,r12, ,r12,r12, , , , , , , , , , , , , , , , , , , , , , , , 
74, ,r13,r13, ,r13,r13, ,r13,r13,r13, , ,r13,r13, ,r13,r13, ,r13, ,r13,r13, ,r13, , , ,r13,r13,r13, ,r13,r13, , , , , , , , , , , , , , , , , , , , , , , , 
75, ,r35,r35, ,r35,r35, ,r35,r35,r35, , ,r35,r35,r35,r35,r35,r35,r35, ,r35,r35, ,r35, , , ,r35,r35,r35, ,r35,r35, , , , , , , , , , , , , , , , , , , , , , , , 
76, ,r37,r37, ,r37,r37, ,r37,r37,r37, , ,r37,r37,r37,r37,r37,r37,r37, ,r37,r37, ,r37, , , ,r37,r37,r37, ,r37,r37, , , , , , , , , , , , , , , , , , , , , , , , 
77, ,r39,r39, ,r39,r39, ,r39,r39,r39, , ,r39,r39,r39,r39,r39,r39,r39, ,r39,r39, ,r39, , , ,r39,r39,r39, ,r39,r39, , , , , , , , , , , , , , , , , , , , , , , , 
78, ,r36,r36, ,r36,r36, ,r36,r36,r36, , ,r36,r36,r36,r36,r36,r36,r36, ,r36,r36, ,r36, , , ,r36,r36,r36, ,r36,r36, , , , , , , , , , , , , , , , , , , , , , , , 
79, ,r38,r38, ,r38,r38, ,r38,r38,r38, , ,r38,r38,r38,r38,r38,r38,r38, ,r38,r38, ,r38, , , ,r38,r38,r38, ,r38,r38, , , , , , , , , , , , , , , , , , , , , , , , 
80, ,r40,r40, ,r40,r40, ,r40,r40,r40, , ,r40,r40,r40,r40,r40,r40,r40, ,r40,r40, ,r40, , , ,r40,r40,r40, ,r40,r40, , , , , , , , , , , , , , , , , , , , , , , , 
81, ,r15,r15, ,r15,r15, ,r15,r15,r15, , ,r15,r15, ,r15,r15, ,r15,s82,r15,r15, ,r15, , , ,r15,r15,r15, ,r15,r15, , , , , , , , , , , , , , , , , , , , , , , , 
82, , , , , ,s20, ,s14, ,s15, , , ,s16, , ,s17, , , , ,s18, ,s19, , , ,s21,s22,s23, ,s24,s25, , , , , , , , , , , , , , , ,9, ,83,10,11,12, ,13, 
83, , , , , , , , , , , , , , , , , , , , ,s84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
84, ,r14,r14, ,r14,r14, ,r14,r14,r14, , ,r14,r14, ,r14,r14, ,r14, ,r14,r14, ,r14, , , ,r14,r14,r14, ,r14,r14, , , , , , , , , , , , , , , , , , , , , , , , 
